Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Birmingham/Montgomery,Weekly,27/06/2021 00:00,Organic,1.4079468,10823.7,0,0,0,10104.45,6817.01,1402.18,3.15,719.24
Birmingham/Montgomery,Weekly,20/06/2021 00:00,Organic,1.169635844,16620.14,0,0,0,15848.85,13382.88,1184.12,0,771.29
Boise,Weekly,11/07/2021 00:00,Organic,1.919149763,7396.99,0,0,0,4033.6,4033.6,0,0,3363.39
Boise,Weekly,04/07/2021 00:00,Organic,2.011828332,5262.24,0,0,0,2673.23,2673.23,0,0,2589
Boise,Weekly,27/06/2021 00:00,Organic,2.12170705,4483.48,0,0,0,1439.06,1439.06,0,0,3044.42
Boise,Weekly,20/06/2021 00:00,Organic,2.023690214,5083.84,0,0,0,1486.8,1486.8,0,0,3597.04
Boston,Weekly,11/07/2021 00:00,Organic,2.052528557,28273.06,0,0,0,27615.22,26921.4,0,0,657.85
Boston,Weekly,04/07/2021 00:00,Organic,2.018355394,28002.07,0,0,0,27351.59,26523.53,0,0,650.48
Boston,Weekly,27/06/2021 00:00,Organic,2.088347974,27712.83,0,0,0,27028.07,26136.43,0,0,684.76
Boston,Weekly,20/06/2021 00:00,Organic,1.965808843,31100.97,0,0,0,30387.6,29533.04,0,0,713.37
Buffalo/Rochester,Weekly,11/07/2021 00:00,Organic,1.748732291,9407.57,0,0,0,9407.57,9407.57,0,0,0
Buffalo/Rochester,Weekly,04/07/2021 00:00,Organic,1.642468979,11858.24,0,0,0,11858.24,11855.09,0,3.15,0
Buffalo/Rochester,Weekly,27/06/2021 00:00,Organic,1.699766704,10627.47,0,0,0,10627.47,10616.09,8.23,3.15,0
Buffalo/Rochester,Weekly,20/06/2021 00:00,Organic,1.591695698,10779.59,0,0,0,10779.59,10779.59,0,0,0
Charlotte,Weekly,11/07/2021 00:00,Organic,1.538209601,13368.64,0,0,0,12184.91,11512.31,0,0,1183.73
Charlotte,Weekly,04/07/2021 00:00,Organic,1.527451361,15537.68,0,0,0,14116.34,13277.99,0,0,1421.35
Charlotte,Weekly,27/06/2021 00:00,Organic,1.46068815,16013.13,0,0,0,14739.87,12748.96,0,0,1273.26
Charlotte,Weekly,20/06/2021 00:00,Organic,1.336987265,18496.5,0,0,0,17399.52,15851.41,0,3.15,1096.98
Chicago,Weekly,11/07/2021 00:00,Organic,1.838764145,33333.44,0,0,0,16554.43,13383.43,512.4,0,16779.01
Chicago,Weekly,04/07/2021 00:00,Organic,1.848190459,30390.32,0,0,0,16614.03,12910.68,487.2,0,13776.29
Chicago,Weekly,27/06/2021 00:00,Organic,1.862541748,27258.14,0,0,0,14909.88,11273.73,621.6,0,12348.26
Chicago,Weekly,20/06/2021 00:00,Organic,1.660923871,49304.75,0,0,0,16065.61,12369.61,470.4,12.6,33239.15
Cincinnati/Dayton,Weekly,11/07/2021 00:00,Organic,2.242132692,10628.21,0,0,0,1812.64,1000.49,812.15,0,8815.57
Cincinnati/Dayton,Weekly,04/07/2021 00:00,Organic,2.232032532,10341.47,0,0,0,1565.8,1159.15,406.65,0,8775.67
Cincinnati/Dayton,Weekly,27/06/2021 00:00,Organic,2.205026793,10475.37,0,0,0,1770.24,1052.05,718.18,0,8705.13
Cincinnati/Dayton,Weekly,20/06/2021 00:00,Organic,1.826298948,12035.24,0,0,0,2076.36,1693.98,382.38,0,9958.88
Columbus,Weekly,11/07/2021 00:00,Organic,2.03314704,6120.76,0,0,0,2089.54,1549.48,432.95,0,4031.22
Columbus,Weekly,04/07/2021 00:00,Organic,2.014944041,8922.95,0,0,0,2543.26,2175.72,342.34,3.15,6379.69
Columbus,Weekly,27/06/2021 00:00,Organic,1.559705204,11247.74,0,0,0,2636.86,2077.28,392.63,3.15,8610.88
Columbus,Weekly,20/06/2021 00:00,Organic,1.677095806,6839.38,0,0,0,2841.96,2645.18,177.88,6.3,3997.43
Dallas/Ft. Worth,Weekly,11/07/2021 00:00,Organic,1.507144613,34639.51,0,0,0,23594.56,20239.81,0,12.6,11044.96
Dallas/Ft. Worth,Weekly,04/07/2021 00:00,Organic,1.525575724,42984.35,0,0,0,30407.45,27222.8,0,6.3,12576.9
Dallas/Ft. Worth,Weekly,27/06/2021 00:00,Organic,1.50672773,42320.75,0,0,0,29151.64,25985.89,0,0,13169.11
Dallas/Ft. Worth,Weekly,20/06/2021 00:00,Organic,1.499572725,45096.68,0,0,0,31759.3,28288,0,6.3,13337.38
Denver,Weekly,11/07/2021 00:00,Organic,1.758802213,29513.75,0,0,0,6689.42,4752.17,0,12.6,22824.33
Denver,Weekly,04/07/2021 00:00,Organic,1.822552639,36569.06,0,0,0,10335.02,8120.57,0,15.75,26234.05
Denver,Weekly,27/06/2021 00:00,Organic,1.744866392,36869.54,0,0,0,12677.7,10649.1,0,0,24191.84
Denver,Weekly,20/06/2021 00:00,Organic,1.754372062,35400.25,0,0,0,11732.44,9417.19,0,0,23667.82
Detroit,Weekly,11/07/2021 00:00,Organic,1.27225681,19289.03,0,0,0,14287.58,14063.93,0,0,5001.45
Detroit,Weekly,04/07/2021 00:00,Organic,1.474377422,16060.38,0,0,0,9928.67,9717.62,0,0,6131.71
Detroit,Weekly,27/06/2021 00:00,Organic,1.361498805,18232.06,0,0,0,12138.18,11939.73,0,3.15,6093.88
Detroit,Weekly,20/06/2021 00:00,Organic,1.291642548,15753.5,0,0,0,10295.17,10080.97,0,3.15,5458.33
Grand Rapids,Weekly,11/07/2021 00:00,Organic,0.840934336,13438.09,0,0,0,13438.09,13200.08,0,0,0
Grand Rapids,Weekly,04/07/2021 00:00,Organic,0.93032175,13250.22,0,0,0,13250.22,12997.18,0,0,0
Grand Rapids,Weekly,27/06/2021 00:00,Organic,0.83561567,15600.36,0,0,0,15600.36,15388.97,0,0,0
Grand Rapids,Weekly,20/06/2021 00:00,Organic,0.949140355,9960.26,0,0,0,9960.26,9787.09,0,0,0
Harrisburg/Scranton,Weekly,11/07/2021 00:00,Organic,1.635202369,10158.99,0,0,0,10158.99,10020.14,0,3.15,0
Harrisburg/Scranton,Weekly,04/07/2021 00:00,Organic,1.618238256,11307.88,0,0,0,11289.09,10861.29,0,0,18.78
Harrisburg/Scranton,Weekly,27/06/2021 00:00,Organic,1.638108532,9580.35,0,0,0,9567.82,9361.69,0,12.6,12.53
Harrisburg/Scranton,Weekly,20/06/2021 00:00,Organic,1.582972513,11203.34,0,0,0,11189.22,10958.39,0,6.3,14.12
Hartford/Springfield,Weekly,11/07/2021 00:00,Organic,1.998152735,7692.93,0,0,0,7678.01,7169.36,0,0,14.92
Hartford/Springfield,Weekly,04/07/2021 00:00,Organic,1.920044356,8183.35,0,0,0,8107.38,7335.37,0,3.15,75.97
Hartford/Springfield,Weekly,27/06/2021 00:00,Organic,1.973243666,8087.39,0,0,0,8008.58,7354.74,0,0,78.81
Hartford/Springfield,Weekly,20/06/2021 00:00,Organic,1.8544601,9545.97,0,0,0,9446.35,8436.61,0,0,99.62
Houston,Weekly,11/07/2021 00:00,Organic,1.792215064,11560.12,0,0,0,3941.18,3345.83,0,0,7618.94
Houston,Weekly,04/07/2021 00:00,Organic,1.678748871,11181.62,0,0,0,3771.47,2961.92,0,0,7410.15
Houston,Weekly,27/06/2021 00:00,Organic,1.660107652,12303.89,0,0,0,3402,2740.5,0,0,8901.89
Houston,Weekly,20/06/2021 00:00,Organic,1.813476855,11524.36,0,0,0,3493.22,2825.42,0,0,8031.14
Indianapolis,Weekly,11/07/2021 00:00,Organic,1.553822502,8128.01,0,0,0,5445.71,3093.6,1955.22,0,2682.29
Indianapolis,Weekly,04/07/2021 00:00,Organic,1.689377244,7658.7,0,0,0,4905.37,2876.32,1440.01,0,2753.33
Indianapolis,Weekly,27/06/2021 00:00,Organic,1.680855656,7263.8,0,0,0,4751.42,3061.79,1122.63,0,2512.38
Indianapolis,Weekly,20/06/2021 00:00,Organic,1.525514685,7779.9,0,0,0,5052.16,3781.33,713.29,0,2727.73
Jacksonville,Weekly,11/07/2021 00:00,Organic,1.447963033,9603.76,0,0,0,9531.53,9288.51,6.77,0,72.24
Jacksonville,Weekly,04/07/2021 00:00,Organic,1.470663713,12503.35,0,0,0,12362.21,12060.59,33.87,0,141.14
Jacksonville,Weekly,27/06/2021 00:00,Organic,1.509394886,11025.44,0,0,0,10915.95,10547.48,179.48,0,109.49
Jacksonville,Weekly,20/06/2021 00:00,Organic,1.493295986,11824.32,0,0,0,11712.57,10859.31,626.46,0,111.75
Las Vegas,Weekly,11/07/2021 00:00,Organic,1.725952188,13830.27,0,0,0,6047.87,5644.67,0,0,7782.4
Las Vegas,Weekly,04/07/2021 00:00,Organic,1.681210672,13102.51,0,0,0,6117.83,5664.23,0,0,6984.68
Las Vegas,Weekly,27/06/2021 00:00,Organic,1.664131549,13575.21,0,0,0,6210.36,5800.86,0,3.15,7364.85
Las Vegas,Weekly,20/06/2021 00:00,Organic,1.676087953,15015.71,0,0,0,6847.18,6440.83,0,0,8168.53
Los Angeles,Weekly,11/07/2021 00:00,Organic,1.696346764,126227.14,0,0,0,72430.65,60184.5,3032.4,3.15,53796.49
Los Angeles,Weekly,04/07/2021 00:00,Organic,1.774999198,141654.56,0,0,0,74678.79,61791.09,2725.8,0,66975.76
Los Angeles,Weekly,27/06/2021 00:00,Organic,1.766288924,132037.07,0,0,0,68819.72,55974.02,2835,0,63217.35
Los Angeles,Weekly,20/06/2021 00:00,Organic,1.856074968,147768.48,0,0,0,69399.37,55609.72,2591.4,0,78369.12
Louisville,Weekly,11/07/2021 00:00,Organic,2.222864167,3653.58,0,0,0,713.32,405.86,307.46,0,2940.26
Louisville,Weekly,04/07/2021 00:00,Organic,2.173877406,4910.54,0,0,0,1240.63,1120.34,120.29,0,3669.92
Louisville,Weekly,27/06/2021 00:00,Organic,1.771313186,5142.5,0,0,0,1838.22,1719.09,100.23,0,3304.28
Louisville,Weekly,20/06/2021 00:00,Organic,1.443100422,8405.4,0,0,0,4944.74,4877.92,66.82,0,3460.66
Miami/Ft. Lauderdale,Weekly,11/07/2021 00:00,Organic,1.382446391,32496.62,0,0,0,30940.56,28623.81,102.3,0,1556.05
Miami/Ft. Lauderdale,Weekly,04/07/2021 00:00,Organic,1.474532233,53198.55,0,0,0,48573.94,45972.11,116.47,0,4624.61
Miami/Ft. Lauderdale,Weekly,27/06/2021 00:00,Organic,1.502259292,40824,0,0,0,40201.35,37557.88,123.47,0,622.65
Miami/Ft. Lauderdale,Weekly,20/06/2021 00:00,Organic,1.480429448,45380.9,0,0,0,44768.75,41784.79,451.36,0,612.15
Nashville,Weekly,11/07/2021 00:00,Organic,1.930928509,13461.61,0,0,0,7688.58,7546.83,0,0,5773.03
Nashville,Weekly,04/07/2021 00:00,Organic,1.85943532,15106.6,0,0,0,9279.6,9022.83,0,0,5827.01
Nashville,Weekly,27/06/2021 00:00,Organic,1.627587658,15968.04,0,0,0,9532.27,7696.85,0,0,6435.77
Nashville,Weekly,20/06/2021 00:00,Organic,1.257746001,27329.16,0,0,0,20427.05,19236.19,0,0,6902.12
Northern New England,Weekly,11/07/2021 00:00,Organic,2.289592961,14513.7,0,0,0,11997.36,11858.27,0,0,2516.34
Northern New England,Weekly,04/07/2021 00:00,Organic,2.218214689,17212.55,0,0,0,14298.99,14098.68,0,3.15,2913.56
Northern New England,Weekly,27/06/2021 00:00,Organic,2.261267619,12562.79,0,0,0,10950.64,10932.28,0,0,1612.15
Northern New England,Weekly,20/06/2021 00:00,Organic,2.025363204,15921.25,0,0,0,14202.54,14136.65,0,0,1718.71
New Orleans/Mobile,Weekly,11/07/2021 00:00,Organic,1.176408669,11067.37,0,0,0,10806.19,8140.66,2120.58,0,261.18
New Orleans/Mobile,Weekly,04/07/2021 00:00,Organic,1.158896719,17486.4,0,0,0,16998.83,13901.35,2464.33,3.15,487.56
New Orleans/Mobile,Weekly,27/06/2021 00:00,Organic,1.166969078,16165.51,0,0,0,15533.63,11759.15,3229.53,0,631.88
New Orleans/Mobile,Weekly,20/06/2021 00:00,Organic,1.148245977,15587.16,0,0,0,15119.69,10567.28,3868.86,6.3,467.47
New York,Weekly,11/07/2021 00:00,Organic,1.700798463,79654.08,0,0,0,75739.78,64755.03,0,0,3914.3
New York,Weekly,04/07/2021 00:00,Organic,1.639021005,84146.83,0,0,0,80544.01,62135.85,0,0,3602.82
New York,Weekly,27/06/2021 00:00,Organic,1.697190077,82797.47,0,0,0,76422.74,61458.03,0,0,6374.73
New York,Weekly,20/06/2021 00:00,Organic,1.607559617,95547.71,0,0,0,89561.04,71474.72,0,0,5986.67
Orlando,Weekly,11/07/2021 00:00,Organic,1.403104789,17107.34,0,0,0,16993.94,15340.19,0,0,113.4
Orlando,Weekly,04/07/2021 00:00,Organic,1.481658824,30314.72,0,0,0,30192.92,28369.07,0,0,121.8
Orlando,Weekly,27/06/2021 00:00,Organic,1.444726721,27959.06,0,0,0,27850.45,25942.89,14.41,0,108.6
Orlando,Weekly,20/06/2021 00:00,Organic,1.272317112,39541.05,0,0,0,39431.85,37430.19,136.86,0,109.2
Peoria/Springfield,Weekly,11/07/2021 00:00,Organic,1.598001141,2617.98,0,0,0,1811.16,1789.11,0,0,806.81
Peoria/Springfield,Weekly,04/07/2021 00:00,Organic,1.733428108,2637.71,0,0,0,1820.82,1798.77,0,0,816.89
Peoria/Springfield,Weekly,27/06/2021 00:00,Organic,1.731266963,2081.03,0,0,0,1417.98,1408.53,0,0,663.05
Peoria/Springfield,Weekly,20/06/2021 00:00,Organic,1.56946983,2637.07,0,0,0,1862.05,1833.7,0,0,775.02
Philadelphia,Weekly,11/07/2021 00:00,Organic,1.791873351,19621.64,0,0,0,16806.75,14677.57,0,0,2814.89
Philadelphia,Weekly,04/07/2021 00:00,Organic,1.638592353,18968.79,0,0,0,17580.67,13692.49,0,0,1388.12
Philadelphia,Weekly,27/06/2021 00:00,Organic,1.767160799,20338.47,0,0,0,16744.29,13336.55,0,0,3594.19
Philadelphia,Weekly,20/06/2021 00:00,Organic,1.751500418,21276.85,0,0,0,18050.12,13840.28,0,0,3226.73
Phoenix/Tucson,Weekly,11/07/2021 00:00,Organic,1.631520256,21534.03,0,0,0,11260.18,10543.84,0,3.15,10273.85
Phoenix/Tucson,Weekly,04/07/2021 00:00,Organic,1.601566764,21469.57,0,0,0,11047.96,10279.76,0,3.15,10421.61
Phoenix/Tucson,Weekly,27/06/2021 00:00,Organic,1.520731582,22801.45,0,0,0,11617.84,10824.45,0,0,11183.61
Phoenix/Tucson,Weekly,20/06/2021 00:00,Organic,1.591808259,25681.05,0,0,0,13019.69,11990.48,0,0,12661.36
Pittsburgh,Weekly,11/07/2021 00:00,Organic,1.494949435,2702.88,0,0,0,2363.25,2123.85,0,0,339.64
Pittsburgh,Weekly,04/07/2021 00:00,Organic,1.474790918,11762.77,0,0,0,5075.17,5015.32,0,0,6687.6
Pittsburgh,Weekly,27/06/2021 00:00,Organic,1.102816852,18174.23,0,0,0,4160.36,3914.66,0,0,14013.87
Pittsburgh,Weekly,20/06/2021 00:00,Organic,1.487950963,7476.99,0,0,0,6387.11,6065.81,0,6.3,1089.88
Portland,Weekly,11/07/2021 00:00,Organic,2.066103069,28500.46,0,0,0,5597.12,4522.22,0,0,22903.33
Portland,Weekly,04/07/2021 00:00,Organic,2.258579192,28503.41,0,0,0,5444.98,4332.3,0,0,23058.43
Portland,Weekly,27/06/2021 00:00,Organic,2.240545117,27479.26,0,0,0,5430.86,4342.14,0,0,22048.39
Portland,Weekly,20/06/2021 00:00,Organic,2.204538428,26493.55,0,0,0,6249.1,5070.19,0,0,20244.45
Providence,Weekly,11/07/2021 00:00,Organic,2.294975972,3868.26,0,0,0,3866.98,3800.83,0,0,1.28
Providence,Weekly,04/07/2021 00:00,Organic,2.248387984,3312.69,0,0,0,3307.57,3244.57,0,3.15,5.12
Providence,Weekly,27/06/2021 00:00,Organic,2.268084326,3820.55,0,0,0,3810.31,3756.76,0,0,10.24
Providence,Weekly,20/06/2021 00:00,Organic,2.114493321,3999.58,0,0,0,3998.3,3944.75,0,0,1.28
Raleigh/Greensboro,Weekly,11/07/2021 00:00,Organic,1.506122542,16078.06,0,0,0,14856.68,14129.03,0,0,1221.37
Raleigh/Greensboro,Weekly,04/07/2021 00:00,Organic,1.530112534,15792.78,0,0,0,14398.12,13424.53,0,0,1394.66
Raleigh/Greensboro,Weekly,27/06/2021 00:00,Organic,1.500454292,15064.95,0,0,0,13861,12541.47,0,0,1203.95
Raleigh/Greensboro,Weekly,20/06/2021 00:00,Organic,1.456955634,21752.45,0,0,0,20552.61,19443.94,0,0,1199.84
Richmond/Norfolk,Weekly,11/07/2021 00:00,Organic,1.495322469,13484.66,0,0,0,11670.41,11670.41,0,0,1814.25
Richmond/Norfolk,Weekly,04/07/2021 00:00,Organic,1.519446274,12882.91,0,0,0,10910.81,10819.11,0,0,1972.1
Richmond/Norfolk,Weekly,27/06/2021 00:00,Organic,1.405429835,13499.23,0,0,0,11468.79,10735.28,0,0,2030.44
Richmond/Norfolk,Weekly,20/06/2021 00:00,Organic,1.376236691,15880.83,0,0,0,13525.37,13118.81,0,3.15,2355.46
Roanoke,Weekly,11/07/2021 00:00,Organic,1.882695139,4198.06,0,0,0,2344.95,2344.95,0,0,1853.1
Roanoke,Weekly,04/07/2021 00:00,Organic,1.878744783,4922.12,0,0,0,2850.41,2847.26,0,3.15,2071.71
Roanoke,Weekly,27/06/2021 00:00,Organic,1.595852172,5452.6,0,0,0,3278.76,3278.76,0,0,2173.84
Roanoke,Weekly,20/06/2021 00:00,Organic,1.442000936,7890.37,0,0,0,5653.78,5653.78,0,0,2236.6
Sacramento,Weekly,11/07/2021 00:00,Organic,1.64079994,18503.75,0,0,0,14928.09,13545.24,0,3.15,3575.66
Sacramento,Weekly,04/07/2021 00:00,Organic,1.426843346,22419.24,0,0,0,17435.6,15791.3,0,0,4983.64
Sacramento,Weekly,27/06/2021 00:00,Organic,1.736783514,16682.39,0,0,0,12888.81,11499.66,0,3.15,3793.58
Sacramento,Weekly,20/06/2021 00:00,Organic,1.425654077,20469.92,0,0,0,16235.08,14558.35,0,0,4234.84
San Diego,Weekly,11/07/2021 00:00,Organic,2.057704194,23411.82,0,0,0,12832.71,10860.81,0,0,10579.11
San Diego,Weekly,04/07/2021 00:00,Organic,2.074827985,28066.07,0,0,0,14438.96,11828.91,0,0,13627.11
San Diego,Weekly,27/06/2021 00:00,Organic,2.056656788,27996.69,0,0,0,13749.65,10990.62,0,0,14247.04
San Diego,Weekly,20/06/2021 00:00,Organic,2.10918869,30839.61,0,0,0,15460.57,12366.67,0,0,15379.04
San Francisco,Weekly,11/07/2021 00:00,Organic,1.934245959,59877.6,0,0,0,43675.45,37842.9,0,0,16202.15
San Francisco,Weekly,04/07/2021 00:00,Organic,1.725535405,66051.05,0,0,0,42941.28,36418.18,0,0,23109.77
San Francisco,Weekly,27/06/2021 00:00,Organic,1.998353518,57983.67,0,0,0,39668.38,33519.99,0,0,18315.29
San Francisco,Weekly,20/06/2021 00:00,Organic,1.724427029,68474.72,0,0,0,42744.7,36579.09,5.18,0,25730.02
Seattle,Weekly,11/07/2021 00:00,Organic,2.178745313,48984.83,0,0,0,17558.88,10971.71,92.4,0,31425.95
Seattle,Weekly,04/07/2021 00:00,Organic,2.190841856,53010.49,0,0,0,17805.64,11190.64,71.4,0,35204.84
Seattle,Weekly,27/06/2021 00:00,Organic,2.259092219,53006.03,0,0,0,17820.11,10753.97,159.6,0,35185.92
Seattle,Weekly,20/06/2021 00:00,Organic,2.233081239,47791.69,0,0,0,17377.49,10721.03,184.8,0,30414.2
South Carolina,Weekly,11/07/2021 00:00,Organic,1.590454713,23211.37,0,0,0,20226.39,20144.49,0,0,2984.99
South Carolina,Weekly,04/07/2021 00:00,Organic,1.584759153,25939.68,0,0,0,22233.85,21910.56,0,0,3705.82
South Carolina,Weekly,27/06/2021 00:00,Organic,1.474603329,29732.55,0,0,0,25457.67,23409.34,0,0,4274.88
South Carolina,Weekly,20/06/2021 00:00,Organic,1.278318961,34720.31,0,0,0,30792.19,29470.49,3.7,0,3928.12
Spokane,Weekly,11/07/2021 00:00,Organic,2.034213712,3056.36,0,0,0,989.49,989.49,0,0,2066.86
Spokane,Weekly,04/07/2021 00:00,Organic,2.135890594,3627.29,0,0,0,996.45,996.45,0,0,2630.84
Spokane,Weekly,27/06/2021 00:00,Organic,2.288089698,2961.26,0,0,0,1014.3,1014.3,0,0,1946.96
Spokane,Weekly,20/06/2021 00:00,Organic,2.341685353,3356.1,0,0,0,1000.52,1000.52,0,0,2355.58
St. Louis,Weekly,11/07/2021 00:00,Organic,2.449200211,2460.54,0,0,0,1077.69,809.94,0,0,1382.85
St. Louis,Weekly,04/07/2021 00:00,Organic,2.020923797,4008.55,0,0,0,2759.93,2517.38,0,0,1248.62
St. Louis,Weekly,27/06/2021 00:00,Organic,2.160446766,4348.13,0,0,0,2641.8,2405.55,0,0,1706.33
St. Louis,Weekly,20/06/2021 00:00,Organic,2.094640846,4233.17,0,0,0,2714.91,2374.71,0,0,1518.27
Syracuse,Weekly,11/07/2021 00:00,Organic,1.733653451,2256.84,0,0,0,2145.85,2128.62,0,0,110.99
Syracuse,Weekly,04/07/2021 00:00,Organic,1.605102555,3374.79,0,0,0,3249.91,3218.71,0,3.15,124.88
Syracuse,Weekly,27/06/2021 00:00,Organic,1.807125045,1976.46,0,0,0,1883.56,1850.78,0,0,92.9
Syracuse,Weekly,20/06/2021 00:00,Organic,1.565518929,2970.45,0,0,0,2883.9,2852.64,0,0,86.56
Tampa,Weekly,11/07/2021 00:00,Organic,1.254008279,15542.27,0,0,0,15470.87,14667.62,0,0,71.4
Tampa,Weekly,04/07/2021 00:00,Organic,1.39649095,27743.9,0,0,0,27670.4,26879.4,3.49,0,73.5
Tampa,Weekly,27/06/2021 00:00,Organic,1.249551954,22850.43,0,0,0,22751.39,21885.14,0,0,99.04
Tampa,Weekly,20/06/2021 00:00,Organic,1.092339824,37036.9,0,0,0,36915.1,35996.85,48.85,0,121.8
Toledo,Weekly,11/07/2021 00:00,Organic,1.872121453,2641.22,0,0,0,1106.97,970.76,136.2,0,1534.25
Toledo,Weekly,04/07/2021 00:00,Organic,2.011970431,3448.85,0,0,0,1079.28,895.44,183.85,0,2369.57
Toledo,Weekly,27/06/2021 00:00,Organic,1.879386436,2851.28,0,0,0,1002.55,828.7,173.85,0,1848.73
Toledo,Weekly,20/06/2021 00:00,Organic,1.550685727,3138.67,0,0,0,1733.95,1621.44,112.51,0,1404.72
West Tex/New Mexico,Weekly,11/07/2021 00:00,Organic,1.254457885,15849.46,0,0,0,12135.64,11937.19,0,0,3713.82
West Tex/New Mexico,Weekly,04/07/2021 00:00,Organic,1.160926646,35768.85,0,0,0,32258.72,32088.62,0,0,3510.14
West Tex/New Mexico,Weekly,27/06/2021 00:00,Organic,1.160410631,36592.37,0,0,0,33007.13,32811.83,0,0,3585.24
West Tex/New Mexico,Weekly,20/06/2021 00:00,Organic,1.219679963,34188.22,0,0,0,29477.53,29272.78,0,0,4710.69
Wichita,Weekly,11/07/2021 00:00,Organic,1.798573929,1747.18,0,0,0,505.18,382.33,0,0,1242
Wichita,Weekly,04/07/2021 00:00,Organic,1.715912031,2118.63,0,0,0,864.41,754.16,0,0,1254.21
Wichita,Weekly,27/06/2021 00:00,Organic,1.69800171,2012.89,0,0,0,706.26,558.21,0,0,1306.63
Wichita,Weekly,20/06/2021 00:00,Organic,1.825427014,2221.49,0,0,0,818.48,742.88,0,0,1403.02
California,Weekly,11/07/2021 00:00,Organic,1.765940155,279193.99,0,0,0,180362.49,153152.65,3032.4,22.05,98831.51
California,Weekly,04/07/2021 00:00,Organic,1.732662414,317385.99,0,0,0,186801.95,157615.74,2725.8,0,130584.04
California,Weekly,27/06/2021 00:00,Organic,1.845446063,282081.97,0,0,0,164812.88,137609.69,2835,3.15,117269.1
California,Weekly,20/06/2021 00:00,Organic,1.791796439,323531.91,0,0,0,177638.3,147942,2596.76,0,145893.6
Great Lakes,Weekly,11/07/2021 00:00,Organic,1.517889316,148463.6,0,0,0,97188.86,87347.13,5146.32,0,51274.74
Great Lakes,Weekly,04/07/2021 00:00,Organic,1.616560214,144713.22,0,0,0,90566.87,81535.8,3624.06,28.35,54146.36
Great Lakes,Weekly,27/06/2021 00:00,Organic,1.455874554,161639.78,0,0,0,93341.45,84629.55,3464.22,15.75,68298.33
Great Lakes,Weekly,20/06/2021 00:00,Organic,1.504343085,162528.82,0,0,0,88769.45,80992.83,2149.22,50.4,73759.37
Midsouth,Weekly,11/07/2021 00:00,Organic,1.706492699,153864.36,0,0,0,123679.9,118425.93,732.81,0,30184.46
Midsouth,Weekly,04/07/2021 00:00,Organic,1.703178826,163518.94,0,0,0,131213.67,124806.05,566.13,3.15,32305.27
Midsouth,Weekly,27/06/2021 00:00,Organic,1.604510574,165711.25,0,0,0,133040.36,121504.84,437.33,6.3,32670.89
Midsouth,Weekly,20/06/2021 00:00,Organic,1.419292492,230863.19,0,0,0,196499.31,186649.45,434.79,12.6,34363.88
Northeast,Weekly,11/07/2021 00:00,Organic,1.85121426,191807.4,0,0,0,180596.87,165342.23,0,3.15,11210.53
Northeast,Weekly,04/07/2021 00:00,Organic,1.766404014,215021.07,0,0,0,197916.49,172250.67,0,18.9,17104.58
Northeast,Weekly,27/06/2021 00:00,Organic,1.770567027,210980.93,0,0,0,182300.73,161035.35,8.23,15.75,28680.21
Northeast,Weekly,20/06/2021 00:00,Organic,1.724512919,226844.08,0,0,0,212783.73,187061.96,4.24,15.75,14060.35
Plains,Weekly,11/07/2021 00:00,Organic,1.578189257,27298.93,0,0,0,22378.04,13869.19,687.39,0,4920.89
Plains,Weekly,04/07/2021 00:00,Organic,1.597167273,38788.14,0,0,0,33592.86,25398.62,492.49,0,5195.28
Plains,Weekly,27/06/2021 00:00,Organic,1.607738192,37740.69,0,0,0,32358.99,23839.91,612.58,6.3,5381.7
Plains,Weekly,20/06/2021 00:00,Organic,1.593252856,38296.13,0,0,0,33113.37,23395.5,563.97,9.45,5182.77
South Central,Weekly,11/07/2021 00:00,Organic,1.492475836,99825.35,0,0,0,74994.89,67421.38,1594.82,12.6,24830.46
South Central,Weekly,04/07/2021 00:00,Organic,1.460887733,135205.11,0,0,0,108394.41,100289.99,2018.62,12.6,26810.7
South Central,Weekly,27/06/2021 00:00,Organic,1.459161394,133062.07,0,0,0,103679.66,94998.35,2897.92,0,29382.41
South Central,Weekly,20/06/2021 00:00,Organic,1.480898133,133691.65,0,0,0,104863.54,95169.99,3677.05,15.75,28828.11
Southeast,Weekly,11/07/2021 00:00,Organic,1.470307697,174732.4,0,0,0,152607.39,143111.81,2735.64,0,22125.02
Southeast,Weekly,04/07/2021 00:00,Organic,1.494618325,248075.99,0,0,0,220964.18,209177.73,3344.96,3.15,27111.81
Southeast,Weekly,27/06/2021 00:00,Organic,1.438439136,228793.27,0,0,0,202935.32,183256.44,3775.56,6.3,25857.95
Southeast,Weekly,20/06/2021 00:00,Organic,1.329667418,279488.18,0,0,0,252816.53,233647.54,5296.5,6.3,26671.64
West,Weekly,11/07/2021 00:00,Organic,1.89710106,240653.19,0,0,0,95105.33,82852.14,92.4,28.35,145547.86
West,Weekly,04/07/2021 00:00,Organic,1.895711797,263771.26,0,0,0,107074.51,93431.49,71.4,18.9,156696.75
West,Weekly,27/06/2021 00:00,Organic,1.880679144,260515.42,0,0,0,108422.38,95095.29,159.6,3.15,152093.04
West,Weekly,20/06/2021 00:00,Organic,1.868135336,256095.09,0,0,0,109243.09,95287.81,184.8,6.3,146852
