Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Miami/Ft. Lauderdale,Weekly,04/01/2021 00:00,Organic,1.047628986,36000.31,155.69,0,0,34872.42,34872.42,0,0,972.2
Nashville,Weekly,04/01/2021 00:00,Organic,1.331685329,12153,42.7,847.21,0,6077.79,6077.79,0,0,5185.3
Northern New England,Weekly,04/01/2021 00:00,Organic,1.804586444,14617.1,48.38,541.84,0,12526.54,12334.75,0,0,1500.33
New Orleans/Mobile,Weekly,04/01/2021 00:00,Organic,1.02821954,10405.54,55.23,0,0,9859.26,7460.1,2399.15,0,491.06
New York,Weekly,04/01/2021 00:00,Organic,1.673763812,93505.02,9795.13,9255.51,2.99,67797.17,62871.57,0,0,6654.22
Orlando,Weekly,04/01/2021 00:00,Organic,1.031874725,27442.47,153.41,0,0,27146.26,27146.26,0,0,142.8
Peoria/Springfield,Weekly,04/01/2021 00:00,Organic,1.546732929,3521.25,24.93,464.05,0,1962.48,1959.33,0,3.15,1069.79
Philadelphia,Weekly,04/01/2021 00:00,Organic,1.624902291,25940.67,1654.3,2412.23,0,18827.09,16991.81,0,0,3047.04
Phoenix/Tucson,Weekly,04/01/2021 00:00,Organic,1.138588493,39632.5,2662.66,9723.83,0,16348.16,16343.51,0,0,10897.86
Pittsburgh,Weekly,04/01/2021 00:00,Organic,1.399074316,10138.92,1990.97,5.63,0,7473.12,7463.67,0,9.45,669.2
Portland,Weekly,04/01/2021 00:00,Organic,1.398070414,66597.39,2382.85,13354.17,0,5470.05,4562.38,0,0,45390.32
Providence,Weekly,04/01/2021 00:00,Organic,1.929333708,3493.99,8.27,5.2,0,3471.42,3471.42,0,0,9.1
Raleigh/Greensboro,Weekly,04/01/2021 00:00,Organic,1.341019184,25420.12,739.94,3156.93,55.31,9347.26,9347.26,0,0,12120.68
Richmond/Norfolk,Weekly,04/01/2021 00:00,Organic,0.987195866,31593.5,11.64,1569.69,2.19,23755.94,23755.94,0,0,6254.04
Roanoke,Weekly,04/01/2021 00:00,Organic,1.051833187,12232.56,11.69,1381.97,0,7484.18,7484.18,0,0,3354.73
Sacramento,Weekly,04/01/2021 00:00,Organic,1.81870997,21674.06,2353.73,2598.25,0,12958.63,12539.68,0,0,3763.45
San Diego,Weekly,04/01/2021 00:00,Organic,1.398038612,36998.99,995.13,1394.39,1.43,15875.67,15624.24,0,0,18732.37
San Francisco,Weekly,04/01/2021 00:00,Organic,1.9790449,78335.5,2886.58,5923.46,1.34,47695.33,46566.09,0,0,21828.8
Seattle,Weekly,04/01/2021 00:00,Organic,1.715108486,76140.32,1144.13,14745.92,0,14733.02,11551.71,0,0,45517.24
South Carolina,Weekly,04/01/2021 00:00,Organic,1.306218082,26311.11,960.54,2790.93,73.17,14482.69,14482.69,0,0,8003.78
Spokane,Weekly,04/01/2021 00:00,Organic,1.758214855,4338.74,72.07,874.4,0,875.18,875.18,0,0,2517.09
St. Louis,Weekly,04/01/2021 00:00,Organic,1.862468434,6086.69,770.76,945.56,0,3044.49,3044.49,0,0,1325.88
